month,humidity,temperature,pressure,wind_speed,rainfall
11,84.09,23.38,1018.99,10.7,176.35
11,86.42,20.96,1004.49,24.17,204.97
1,61.56,16.5,1027.52,6.83,134.29
1,73.3,17.23,993.53,16.52,161.95
12,54.83,28.05,1004.55,14.01,141.94
11,38.92,14.42,994.8,2.46,123.69
2,43.84,12.66,1027.85,25.87,115.25
6,48.01,37.99,1023.05,23.39,84.53
7,68.41,16.06,1028.85,31.15,161.18
2,65.9,41.83,1007.6,5.6,120.19
9,36.34,24.46,997.75,21.69,122.96
1,53.58,35.33,1012.47,10.95,118.64
8,60.57,22.76,1024.77,28.53,169.73
1,51.56,16.86,994.22,6.93,141.96
12,49.01,32.29,1012.99,12.76,138.23
6,57.22,25.77,1018.88,33.93,132.02
8,35.73,38.57,1003.11,27.25,120.81
11,38.6,30.08,1013.83,28.73,113.64
11,47.0,17.82,993.25,6.27,133.33
7,70.48,28.23,1005.77,27.1,170.71
1,73.36,23.59,994.91,15.47,190.09
11,33.14,37.07,996.23,7.66,126.05
3,45.75,38.28,1021.96,21.38,104.29
8,31.3,25.74,1018.56,15.79,115.43
6,36.94,35.21,1024.95,10.43,80.48
1,72.37,24.3,1028.21,33.25,196.55
6,71.84,20.39,1019.25,27.33,171.88
1,56.29,23.26,1004.85,33.54,172.28
5,46.47,35.41,1005.46,10.86,122.03
9,68.86,30.83,1009.69,22.97,169.71
1,54.09,23.74,1027.47,30.53,136.06
6,90.61,22.82,1022.25,16.57,202.59
9,61.09,27.42,1012.88,24.53,158.77
1,94.94,14.67,990.26,34.5,240.82
7,88.79,31.91,1025.97,18.72,191.28
12,92.81,20.7,1001.49,28.49,215.51
8,60.06,39.62,990.21,21.46,155.32
1,63.34,33.12,991.08,31.55,150.98
6,91.02,41.46,1012.03,7.61,173.11
12,94.31,20.7,999.19,5.96,195.25
3,88.07,39.93,1029.16,14.76,169.44
8,79.46,19.28,1027.07,12.9,134.83
1,90.04,32.44,1024.06,5.99,163.09
7,76.02,26.67,1025.2,20.75,184.11
2,64.44,12.79,1029.41,4.67,125.71
12,63.63,40.72,1027.71,7.71,121.3
3,60.28,16.93,990.58,29.59,184.77
12,48.29,14.53,1006.74,26.58,134.85
2,51.39,23.29,995.54,19.43,171.27
8,45.78,22.97,1019.49,31.71,133.77
4,43.57,12.63,998.54,3.24,103.11
9,75.47,17.62,1005.21,20.8,192.63
10,50.57,24.86,998.0,13.89,161.21
9,84.51,13.54,994.68,15.88,193.4
1,55.55,19.23,1019.85,32.39,139.09
8,72.63,28.84,993.54,2.22,184.27
1,34.16,32.34,1024.46,9.49,87.45
9,47.63,10.47,1014.62,9.58,122.43
1,45.24,24.42,1005.71,25.21,137.14
11,84.25,40.08,1005.88,10.75,178.43
8,67.74,27.91,993.79,10.85,202.01
6,80.61,19.54,1006.73,29.97,238.8
5,59.45,25.88,1013.36,34.34,151.18
8,77.36,37.79,1026.16,20.14,157.96
5,80.4,31.63,1026.15,31.28,160.47
1,41.05,11.84,1017.14,24.6,112.3
5,39.65,29.28,997.11,22.34,142.68
10,46.77,20.52,1003.18,12.72,136.99
4,77.24,21.56,1028.62,34.7,189.28
5,30.79,40.21,1005.69,5.79,91.3
2,38.45,29.86,1015.02,32.26,123.36
8,59.99,32.04,1008.34,26.98,170.9
1,65.23,33.18,1011.08,21.3,169.99
2,48.38,27.04,1000.06,16.71,139.28
6,78.24,37.36,1018.59,14.76,175.3
2,83.51,10.72,995.89,12.04,190.56
9,71.61,29.34,1029.79,8.12,118.4
1,54.73,37.99,1025.47,27.06,86.49
2,93.55,15.73,1018.38,23.2,200.11
7,35.54,22.56,994.56,18.64,147.45
6,37.98,13.6,1016.06,15.15,109.32
8,91.03,38.11,1023.53,3.75,174.68
5,33.81,32.3,995.91,5.1,104.38
8,83.27,35.3,1028.05,2.5,163.2
12,74.45,16.43,1020.95,31.21,148.71
8,78.78,41.84,1019.43,4.15,127.95
3,89.17,20.44,1023.37,14.65,166.55
1,38.2,10.21,1015.08,22.46,113.74
3,84.23,28.83,1015.14,21.29,181.03
7,91.48,34.19,1023.46,20.95,182.64
7,35.83,10.88,1016.16,3.11,95.92
6,81.54,26.34,1002.11,8.1,206.48
1,49.23,36.38,995.43,13.82,127.12
4,78.36,21.56,1014.54,12.13,163.66
4,70.25,36.75,1023.04,10.31,156.3
3,58.48,37.28,1007.87,11.35,114.36
3,45.1,30.41,1010.99,20.68,179.56
9,58.83,27.62,1001.56,12.36,129.92
11,40.54,32.02,990.83,28.01,146.03
12,55.53,34.0,994.61,24.25,161.59
9,90.52,21.59,990.26,24.66,225.79
7,30.23,37.8,1009.61,5.98,89.06
5,92.67,40.42,1004.05,3.69,202.49
8,78.88,41.96,1028.89,26.23,192.71
7,36.91,39.25,1017.8,4.92,61.03
4,62.48,14.79,1028.27,12.1,136.11
2,89.33,21.04,1001.79,3.72,211.03
11,85.72,22.2,1020.68,20.98,184.41
2,85.51,10.01,1027.34,33.41,170.62
8,92.96,39.8,1020.44,3.67,147.77
6,39.19,11.51,1017.57,23.34,138.72
10,70.82,15.57,1005.8,24.79,156.57
6,70.64,28.28,990.52,5.68,200.72
5,66.4,27.77,1002.08,6.53,172.68
4,83.36,22.35,993.26,34.66,219.03
3,62.24,38.58,993.34,34.15,179.62
3,54.81,28.98,992.17,15.85,165.71
8,71.52,29.6,1017.22,14.66,179.61
8,70.28,20.49,1020.28,25.46,140.99
2,94.03,33.75,1017.19,28.44,173.29
5,55.94,17.64,1015.13,23.42,136.69
8,80.43,35.95,1005.0,19.82,167.14
4,77.4,10.95,1015.51,15.81,168.68
2,60.31,28.01,1020.21,24.51,168.4
6,36.39,26.35,1005.24,11.81,134.34
7,71.52,18.95,990.69,16.93,190.09
2,44.83,38.09,1023.82,33.48,129.13
6,78.25,31.68,1022.16,18.56,182.74
4,55.54,22.5,1017.81,20.98,156.55
3,82.73,27.4,995.48,22.49,180.47
9,69.61,10.02,1022.88,3.0,122.16
6,46.86,14.24,1000.28,17.89,143.44
6,64.94,16.13,1021.99,15.55,167.88
4,70.77,11.46,1008.31,21.46,130.31
9,93.14,22.78,1027.47,4.4,169.68
5,52.15,10.19,1008.13,9.34,106.4
6,41.51,13.49,991.39,20.19,139.22
11,52.75,35.88,990.09,17.09,172.73
5,50.39,23.58,993.58,15.04,160.39
1,81.14,32.95,1013.41,7.36,185.17
11,56.14,39.98,995.99,11.59,130.25
3,55.13,15.87,1027.85,34.32,121.75
9,63.33,19.52,1003.26,4.35,162.5
4,49.04,34.02,1015.05,27.48,113.72
1,89.07,26.34,1005.13,18.7,191.79
9,72.42,19.66,1011.82,6.49,157.46
12,87.91,25.61,1004.65,32.94,219.33
10,53.61,17.62,1004.04,13.67,145.67
6,89.44,20.21,1016.33,19.28,188.13
7,43.97,10.37,1028.61,5.05,44.06
8,80.29,16.56,1007.06,4.28,173.51
12,40.91,19.32,1010.94,23.85,146.34
12,38.11,24.12,1023.58,4.78,121.02
5,55.64,10.08,1019.5,19.96,129.42
5,71.55,24.46,990.37,11.36,174.08
9,32.96,16.8,1028.43,2.08,120.13
4,69.42,22.66,1025.21,32.35,166.66
8,81.82,27.74,1000.28,34.59,218.26
6,44.3,35.03,1025.81,13.98,123.15
12,37.19,10.23,1022.17,30.15,81.22
4,74.66,36.38,1029.64,5.53,147.72
7,52.35,38.51,1016.62,23.11,95.65
12,33.79,32.48,1021.5,11.3,64.86
12,87.1,26.99,1029.23,24.69,198.38
2,67.53,19.93,1026.55,23.59,163.66
3,93.47,19.21,1010.98,13.09,186.19
2,84.99,22.14,1029.5,8.09,181.66
4,91.3,20.58,1022.55,3.92,179.02
5,76.56,28.08,1003.8,10.21,172.05
4,68.17,22.3,1015.4,13.89,128.48
9,87.05,21.08,1018.06,29.45,215.01
10,93.07,40.48,1012.14,26.76,192.38
10,88.44,19.86,1007.74,16.58,199.61
1,84.91,31.04,1014.79,24.54,186.17
9,46.59,19.64,1023.45,12.92,118.47
5,55.13,33.59,1029.47,15.23,112.91
7,32.44,18.13,1012.91,15.19,93.51
8,43.85,14.97,1001.62,31.24,164.31
2,31.02,30.26,998.43,29.21,117.47
1,35.89,10.41,998.04,15.78,110.72
10,94.76,14.47,1016.07,4.74,194.33
6,37.54,38.16,1017.33,21.96,89.34
4,39.15,36.31,1005.34,14.23,119.0
1,62.05,16.29,999.25,12.61,141.73
9,72.09,40.22,1029.38,7.3,127.98
6,42.28,32.53,1012.53,19.25,124.97
7,87.72,30.63,1025.4,13.01,185.08
11,32.21,19.22,1026.48,18.26,75.78
10,47.17,20.4,1001.37,30.77,116.04
10,58.17,18.84,995.24,2.89,165.86
10,72.32,39.87,993.47,10.15,139.19
1,47.31,21.8,1011.12,13.89,108.41
4,81.66,33.3,991.67,20.8,194.8
4,85.21,22.73,1016.4,19.05,191.15
3,84.21,32.18,997.44,26.83,205.69
4,59.58,18.17,1014.15,13.18,145.38
9,65.35,10.0,1013.63,26.85,159.06
5,86.1,26.17,1015.02,25.04,201.26
1,89.84,10.41,1010.65,3.54,170.12
4,45.98,38.49,1028.95,16.37,98.99
11,85.8,16.15,1010.53,32.23,191.51
10,54.96,24.64,1013.47,6.8,152.73
7,71.07,28.63,1005.72,21.95,172.55
12,80.25,21.41,1017.58,3.3,184.39
3,51.66,27.72,1020.54,6.98,129.55
6,66.91,38.83,1014.17,17.88,125.12
3,46.85,33.12,995.2,30.88,145.48
4,64.87,25.85,1017.18,29.48,153.36
7,48.26,34.55,994.26,22.0,135.3
5,69.57,28.67,1027.99,25.45,133.21
10,90.75,29.45,1007.06,20.83,194.09
10,75.04,25.59,1018.8,7.53,174.58
4,62.4,15.3,997.86,19.97,174.79
8,31.34,12.11,1027.59,13.99,87.51
10,86.4,19.95,991.93,27.07,188.12
3,52.8,29.43,1007.68,30.86,166.99
10,67.67,27.38,1011.44,14.62,122.26
11,78.51,15.06,1007.53,6.55,172.15
9,87.52,27.21,1014.51,21.12,198.27
12,74.56,18.83,1029.97,13.27,153.37
5,69.01,11.91,1001.82,22.26,179.09
7,42.66,26.07,1017.28,25.99,136.45
5,63.01,38.08,1018.07,20.39,132.67
9,91.07,19.95,1026.35,6.99,153.53
4,78.3,15.07,1022.41,21.59,152.52
8,81.83,15.95,1001.45,8.48,170.12
8,71.92,18.08,1011.36,22.17,163.73
5,40.82,22.46,1006.05,21.69,125.13
5,62.81,17.37,994.54,4.51,162.62
3,42.48,40.69,1011.41,10.86,92.99
1,80.03,11.8,992.73,6.65,175.82
4,49.41,18.6,1021.55,28.36,129.44
12,42.89,35.63,997.65,11.51,126.38
4,56.03,13.8,1023.67,31.66,115.4
8,94.58,13.33,1000.14,8.92,197.48
3,35.28,18.53,1021.28,16.21,116.92
10,52.52,11.89,997.82,3.96,116.85
2,74.94,14.36,1008.16,6.94,176.0
1,41.5,17.57,1023.28,11.52,98.21
9,62.68,29.36,1016.18,17.26,150.33
8,42.65,14.13,997.65,32.92,116.09
4,67.59,11.65,1029.38,16.17,139.69
6,69.08,36.13,999.51,20.82,138.96
8,74.39,32.62,1002.4,21.24,162.21
1,30.05,21.6,1001.69,19.58,110.27
3,80.51,15.95,1013.04,23.63,166.76
12,52.21,39.21,994.92,10.83,127.97
4,89.1,31.43,1018.96,28.75,167.72
4,57.93,14.85,1026.97,18.1,141.38
11,63.68,28.67,1018.87,26.87,141.56
6,31.75,34.04,1016.34,15.28,93.09
5,54.66,17.95,993.12,16.67,138.32
11,53.86,23.31,1010.66,6.54,149.77
3,52.48,12.83,1002.19,6.41,129.8
6,56.9,26.54,1007.98,24.26,157.52
2,81.78,21.9,1025.74,9.89,170.06
9,79.09,30.54,1015.09,34.43,177.61
6,83.51,38.74,992.87,8.6,169.81
5,32.45,21.49,998.68,14.88,119.05
2,79.25,15.71,998.55,12.45,160.38
1,40.87,40.74,1017.94,22.06,107.02
5,82.49,34.37,990.05,20.94,192.48
1,34.64,26.62,1004.7,8.72,107.52
7,63.9,22.09,1029.16,6.62,153.21
9,76.71,38.92,1023.85,29.02,158.61
5,31.15,18.71,1027.26,27.29,111.93
12,85.83,33.29,1014.49,7.4,174.32
1,59.49,39.77,994.27,23.31,161.69
7,49.97,14.75,1029.56,23.04,85.39
7,61.06,40.58,996.19,32.97,146.79
8,57.93,41.57,992.7,27.69,131.49
11,57.01,34.72,1004.41,18.17,157.06
10,45.25,40.87,1028.44,24.99,92.57
4,66.37,12.96,1029.81,5.39,137.59
8,50.24,40.98,1012.36,27.69,114.94
4,86.05,25.73,1004.6,21.61,197.58
12,76.75,24.33,1014.39,27.12,166.8
1,86.66,20.19,995.81,17.55,195.47
9,91.41,28.44,1022.03,28.28,192.91
12,71.27,18.96,999.98,31.1,158.29
5,51.47,34.39,1017.9,22.62,125.22
7,36.91,37.32,1021.4,28.39,73.76
1,56.0,26.33,1004.08,23.66,169.86
2,63.29,34.87,1025.11,18.26,139.22
1,43.88,16.87,1001.83,12.15,114.7
11,63.2,39.99,995.76,9.1,118.34
6,69.32,35.91,1007.46,18.88,151.59
8,93.04,35.69,1009.86,8.4,187.83
5,44.36,34.65,1021.46,4.26,98.48
2,94.87,35.88,999.18,12.88,193.42
5,57.58,10.23,1014.39,24.14,92.29
2,82.5,18.03,1026.03,21.07,164.69
4,42.73,14.29,1007.04,26.23,142.65
8,81.19,33.43,1025.09,6.26,162.94
10,53.61,12.42,1006.9,32.97,119.17
11,80.63,10.35,1009.56,19.03,170.93
11,58.38,22.24,1004.55,22.02,185.39
10,45.07,27.42,1015.94,7.97,134.22
8,39.88,12.21,1000.69,8.94,136.18
6,78.67,24.94,1020.01,26.57,216.27
4,42.39,13.82,1006.61,30.36,130.6
10,34.14,31.58,999.38,7.01,136.55
8,43.68,38.58,1026.51,34.37,97.75
2,33.18,35.41,1002.19,12.17,105.13
12,43.58,26.94,992.67,27.31,142.59
8,62.87,17.79,1015.55,23.88,142.85
8,88.37,39.99,990.54,15.48,189.32
6,49.42,21.46,1004.62,29.23,139.19
11,87.48,41.27,1013.54,14.97,166.75
9,76.76,38.41,1009.18,11.89,185.69
9,55.95,23.41,994.33,16.72,171.17
9,59.07,34.41,1022.41,33.56,143.56
1,79.62,29.53,1025.94,8.94,169.5
7,41.98,20.63,995.47,19.76,137.7
4,82.43,12.08,1010.4,23.44,141.16
5,53.97,12.02,1018.62,4.5,114.02
7,34.83,15.19,1003.75,3.72,105.39
7,90.97,12.16,1020.98,32.72,175.12
2,57.22,25.99,1013.41,26.95,128.61
8,65.86,22.33,1000.37,31.5,165.69
3,85.07,20.89,996.16,23.82,178.87
5,70.1,39.22,995.82,21.71,158.05
10,68.67,38.29,1001.49,3.5,142.3
8,60.78,33.61,1000.09,19.72,135.17
12,65.5,20.19,1005.24,5.99,163.5
10,65.46,38.78,1011.12,13.9,138.36
2,58.39,20.99,1009.03,7.57,149.92
9,83.29,35.39,1023.37,18.18,190.92
7,54.66,37.29,1008.04,28.16,116.39
5,78.34,11.37,1024.36,22.51,144.08
9,44.47,31.15,1020.82,31.43,120.34
9,82.69,12.03,1003.57,9.12,134.48
5,66.59,27.34,1010.89,30.51,170.2
12,79.03,34.91,1026.65,34.09,175.72
12,55.07,22.3,1007.62,25.38,151.56
1,87.71,39.3,990.28,13.62,203.74
4,47.66,18.18,1024.58,31.68,120.01
2,47.25,37.44,1029.16,2.37,98.27
3,91.12,15.77,1024.57,27.93,181.74
6,37.63,24.27,994.35,23.28,172.95
9,72.52,12.07,1017.32,13.61,124.51
5,51.47,38.59,1023.14,11.91,89.88
2,54.19,16.78,1022.07,32.46,133.76
6,93.8,17.04,1000.13,11.34,205.16
11,85.17,34.38,1027.35,21.31,172.6
10,67.8,10.29,1015.77,24.3,154.52
9,74.74,17.77,1026.9,7.25,137.7
3,55.02,17.87,999.56,31.15,120.07
12,40.55,33.79,1010.81,14.55,103.28
1,87.81,17.54,1027.16,11.06,166.74
5,62.75,22.5,994.22,16.35,160.71
6,85.49,12.38,1000.08,12.11,176.3
10,49.02,36.91,995.25,28.11,141.52
11,68.3,11.1,994.77,20.14,157.78
3,77.46,20.75,1029.45,26.16,167.76
5,43.72,10.52,1025.96,13.97,111.74
9,63.7,27.24,998.72,7.11,176.34
8,53.57,34.37,1024.07,15.24,126.77
7,52.59,15.82,1020.34,30.12,114.25
6,59.61,13.99,994.86,18.49,140.61
9,38.73,40.69,998.84,19.58,95.03
3,57.92,35.95,1013.0,26.19,137.22
6,80.27,32.3,1011.9,9.71,160.19
3,46.79,41.92,1011.02,23.71,131.98
8,59.22,22.33,997.65,21.45,128.05
4,35.33,30.5,1001.71,5.92,127.02
3,50.74,14.39,1000.94,15.27,158.11
11,49.02,27.76,1012.85,29.49,118.99
12,44.46,35.56,1000.31,8.93,115.79
7,48.63,15.64,1025.38,2.28,137.78
8,55.18,32.2,1016.38,14.57,121.68
7,56.0,27.65,1010.01,5.97,151.86
8,39.61,24.06,995.27,15.9,139.44
7,38.15,22.73,995.91,9.03,124.41
9,67.84,14.78,1025.25,33.91,136.91
9,51.82,35.9,1023.15,24.86,166.46
5,68.73,35.64,1025.76,10.47,155.07
9,61.01,35.48,1003.59,3.52,138.61
10,39.64,17.32,1026.0,6.12,95.47
6,70.75,13.75,997.38,2.73,145.78
9,64.87,38.84,1026.23,3.04,157.13
